K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271012  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…5월,"2,610,747",-16.1,"6,320,138,376",16.9,"3,456,460",-29.9,"9,109,635,357",-3.3
…6월,"3,194,683",-17.7,"7,549,259,858",14.6,"4,188,822",-30.1,"10,863,529,342",-3.3
…7월,"3,832,408",-17.3,"9,031,079,170",15.2,"5,037,053",-28.9,"12,862,172,900",-2.1
…8월,"4,254,847",-20.3,"10,024,592,169",9.2,"5,868,706",-27.3,"14,971,617,799",-0.7
…9월,"4,826,363",-19.8,"11,301,793,481",7.6,"6,605,983",-26.1,"16,909,955,781",-0.5
…10월,"5,359,688",-19.3,"12,426,382,635",5.9,"7,344,867",-24.7,"18,742,318,011",-0.4
…11월,"5,912,951",-18.9,"13,574,754,357",3.9,"8,172,010",-23.6,"20,618,210,019",-1.1
…12월,"6,540,865",-16.9,"14,797,717,251",3.1,"9,074,193",-22.6,"22,658,519,870",-2.0
2015년,"7,874,239",-29.8,"14,346,184,087",17.7,"11,730,092",-46.4,"23,129,758,723",-3.5
…1월,"587,541",-43.6,"1,178,451,524",12.8,"1,175,150",-48.6,"2,153,472,226",-7.1
…2월,"1,166,261",-39.8,"2,233,988,555",16.0,"2,093,101",-50.5,"4,166,717,539",-3.5
…3월,"1,838,822",-39.6,"3,364,594,246",11.0,"3,040,258",-50.7,"5,970,689,567",-6.0
…4월,"2,498,226",-37.2,"4,443,575,506",12.4,"3,998,558",-48.8,"7,741,879,702",-4.4
…5월,"3,111,782",-35.0,"5,405,261,503",13.6,"4,932,009",-49.5,"9,417,880,682",-7.2
…6월,"3,880,032",-30.1,"6,588,565,787",19.9,"5,994,944",-47.7,"11,237,767,016",-5.4
…7월,"4,636,482",-29.3,"7,840,578,231",20.8,"7,084,501",-46.5,"13,144,591,922",-4.1
…8월,"5,335,420",-30.1,"9,181,631,309",20.7,"8,073,802",-46.4,"15,077,109,644",-3.2
…9월,"6,016,869",-30.5,"10,501,667,220",20.7,"8,942,940",-47.6,"16,994,706,632",-4.2
…10월,"6,642,081",-31.8,"11,730,343,660",17.1,"9,752,592",-48.9,"18,814,543,677",-5.9
…11월,"7,287,973",-30.5,"13,071,104,380",18.2,"10,696,132",-47.6,"20,857,907,593",-4.1
…12월,"7,874,239",-29.8,"14,346,184,087",17.7,"11,730,092",-46.4,"23,129,758,723",-3.5
2014년,"11,215,365",-4.2,"12,191,372,053",3.0,"21,896,122",-0.1,"23,971,985,815",2.6
…1월,"1,042,630",-4.2,"1,044,384,588",-1.2,"2,286,947",11.8,"2,318,027,797",8.8
…2월,"1,936,571",-11.6,"1,925,942,396",-7.2,"4,224,869",15.3,"4,315,878,006",14.0
…3월,"3,045,974",-7.9,"3,032,378,865",-4.2,"6,161,829",5.5,"6,353,880,801",7.1
…4월,"3,977,263",-5.3,"3,952,246,455",-3.7,"7,807,345",0.1,"8,098,407,625",1.6
…5월,"4,788,276",-6.1,"4,757,224,392",-6.0,"9,765,101",3.3,"10,144,370,788",3.2
…6월,"5,549,425",-8.0,"5,496,190,497",-9.0,"11,454,769",2.0,"11,884,240,565",0.3
…7월,"6,558,045",-5.1,"6,489,921,276",-6.4,"13,236,070",2.9,"13,700,811,847",0.0
…8월,"7,633,735",-2.3,"7,609,395,059",-3.2,"15,069,228",3.2,"15,575,860,702",-0.3
…9월,"8,651,321",-0.6,"8,703,035,890",-0.7,"17,058,648",3.6,"17,737,547,352",0.8
…10월,"9,742,346",0.8,"10,014,820,331",2.7,"19,070,286",4.7,"20,002,855,676",2.9
…11월,"10,493,818",-3.7,"11,055,984,622",0.4,"20,427,275",2.7,"21,760,548,178",2.4
…12월,"11,215,365",-4.2,"12,191,372,053",3.0,"21,896,122",-0.1,"23,971,985,815",2.6
2013년,"11,713,133",4.7,"11,831,562,408",7.0,"21,917,430",6.7,"23,371,945,446",8.7
…1월,"1,088,810",18.7,"1,057,266,808",17.7,"2,045,905",14.7,"2,129,827,252",8.8
…2월,"2,189,567",19.0,"2,074,788,898",18.5,"3,664,683",6.7,"3,785,925,874",3.1
…3월,"3,308,036",21.8,"3,165,737,954",25.2,"5,840,783",13.2,"5,930,791,897",11.2
…4월,"4,200,508",14.7,"4,102,369,362",21.7,"7,798,694",13.8,"7,969,972,690",15.8
…5월,"5,098,990",12.8,"5,061,873,316",19.8,"9,452,217",10.1,"9,825,310,152",15.4
…6월,"6,034,890",12.1,"6,038,133,850",15.5,"11,225,881",6.9,"11,848,957,148",12.3
…7월,"6,908,497",11.5,"6,932,174,104",13.3,"12,864,267",10.0,"13,699,137,840",13.6
…8월,"7,814,469",7.3,"7,863,047,530",9.4,"14,608,602",10.2,"15,623,379,867",12.2
…9월,"8,707,118",6.7,"8,768,260,177",8.9,"16,458,502",8.8,"17,596,481,942",10.6
…10월,"9,661,394",5.7,"9,755,720,342",8.3,"18,209,418",8.5,"19,438,950,652",10.6
…11월,"10,892,731",6.7,"11,015,737,079",9.4,"19,886,451",5.8,"21,243,872,251",8.0
…12월,"11,713,133",4.7,"11,831,562,408",7.0,"21,917,430",6.7,"23,371,945,446",8.7
2012년,"11,188,536",0.0,"11,056,202,741",0.0,"20,543,698",0.0,"21,495,094,984",0.0
…1월,"917,604",0.0,"897,949,530",0.0,"1,784,292",0.0,"1,957,442,353",0.0
…2월,"1,839,362",0.0,"1,750,188,194",0.0,"3,435,571",0.0,"3,672,770,278",0.0
…3월,"2,715,889",0.0,"2,528,479,333",0.0,"5,159,615",0.0,"5,334,919,437",0.0
…4월,"3,660,797",0.0,"3,370,021,671",0.0,"6,850,176",0.0,"6,880,830,586",0.0
…5월,"4,521,934",0.0,"4,225,708,923",0.0,"8,583,059",0.0,"8,514,902,869",0.0
…6월,"5,385,633",0.0,"5,228,480,457",0.0,"10,504,123",0.0,"10,551,976,702",0.0
…7월,"6,195,106",0.0,"6,118,964,366",0.0,"11,693,047",0.0,"12,061,585,092",0.0
…8월,"7,279,636",0.0,"7,189,930,330",0.0,"13,262,451",0.0,"13,921,126,879",0.0
…9월,"8,163,812",0.0,"8,048,796,799",0.0,"15,122,205",0.0,"15,903,967,573",0.0
…10월,"9,144,242",0.0,"9,008,335,456",0.0,"16,778,730",0.0,"17,583,645,146",0.0
…11월,"10,206,500",0.0,"10,070,072,621",0.0,"18,799,427",0.0,"19,668,749,499",0.0
…12월,"11,188,536",0.0,"11,056,202,741",0.0,"20,543,698",0.0,"21,495,094,984",0.0
