K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 870323  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…12월,"24,059,230",-12.0,"2,495,176,208",-7.9,"2,047,656",10.9,"136,689,500",18.1
2014년,"27,343,312",0.4,"2,710,104,264",0.2,"1,846,350",22.8,"115,724,775",18.8
…1월,"2,326,794",-2.5,"225,994,927",-5.5,"113,572",8.8,"7,378,239",5.3
…2월,"4,583,384",2.6,"446,658,141",0.3,"245,429",28.3,"15,788,585",25.7
…3월,"7,135,145",5.6,"696,951,492",3.7,"398,950",28.1,"25,133,334",23.8
…4월,"9,773,720",8.1,"958,143,958",6.7,"560,415",31.0,"34,902,762",24.9
…5월,"12,056,478",6.3,"1,183,605,828",4.8,"726,354",34.2,"45,320,120",27.9
…6월,"14,325,813",3.7,"1,408,121,430",2.6,"871,351",33.8,"54,161,498",25.7
…7월,"16,727,979",5.2,"1,642,863,124",3.9,"1,033,046",26.5,"63,593,887",19.0
…8월,"18,304,792",2.2,"1,800,788,506",1.1,"1,193,800",27.6,"73,761,344",20.8
…9월,"20,054,553",2.2,"1,974,211,808",1.0,"1,344,216",23.5,"84,388,977",19.4
…10월,"22,204,129",0.5,"2,191,473,086",-0.3,"1,476,912",20.6,"93,419,849",17.7
…11월,"24,663,568",0.3,"2,438,082,861",-0.3,"1,630,338",19.0,"103,736,626",16.8
…12월,"27,343,312",0.4,"2,710,104,264",0.2,"1,846,350",22.8,"115,724,775",18.8
2013년,"27,232,142",-1.9,"2,704,584,004",-7.7,"1,503,414",22.3,"97,438,893",28.1
…1월,"2,386,106",24.1,"239,272,258",14.2,"104,410",0.2,"7,008,665",10.9
…2월,"4,467,158",-0.7,"445,532,229",-8.0,"191,345",3.1,"12,559,575",12.3
…3월,"6,757,044",-6.5,"672,151,794",-13.4,"311,394",10.6,"20,294,999",19.3
…4월,"9,038,115",-7.2,"898,335,133",-14.0,"427,638",20.6,"27,948,149",29.0
…5월,"11,346,583",-6.7,"1,129,014,616",-13.2,"541,066",15.7,"35,436,151",22.7
…6월,"13,808,593",-7.2,"1,372,297,146",-13.6,"651,421",16.5,"43,087,511",23.9
…7월,"15,903,152",-7.0,"1,581,951,471",-13.2,"816,960",21.4,"53,434,940",28.9
…8월,"17,903,415",-3.5,"1,781,109,346",-9.9,"935,287",24.4,"61,055,061",31.7
…9월,"19,626,836",-4.7,"1,954,201,814",-10.7,"1,088,584",29.3,"70,702,950",36.5
…10월,"22,091,582",-3.0,"2,198,445,407",-9.0,"1,224,734",29.5,"79,365,657",35.8
…11월,"24,585,363",-3.1,"2,445,434,102",-8.9,"1,369,891",29.0,"88,817,536",34.9
…12월,"27,232,142",-1.9,"2,704,584,004",-7.7,"1,503,414",22.3,"97,438,893",28.1
2012년,"27,767,857",5.7,"2,929,683,005",3.4,"1,228,876",3.5,"76,053,358",9.4
2011년,"26,282,559",35.9,"2,832,478,082",24.5,"1,187,028",0.7,"69,546,312",-6.6
…1월,"2,005,958",75.2,"225,598,081",65.8,"94,128",12.8,"5,871,386",12.7
…2월,"3,566,695",52.9,"396,120,656",43.1,"250,874",60.1,"14,379,985",41.5
…3월,"5,723,023",46.5,"630,574,857",35.8,"374,846",57.8,"21,752,864",39.6
…4월,"7,861,508",39.4,"864,930,416",29.9,"468,502",45.7,"26,919,946",26.8
…5월,"10,054,008",38.6,"1,100,157,038",28.2,"542,680",19.5,"31,364,494",6.5
…6월,"12,647,445",39.8,"1,375,168,879",28.2,"621,283",9.1,"36,216,243",-2.3
…7월,"14,922,687",38.8,"1,616,980,789",26.6,"748,133",13.5,"43,125,109",0.1
…8월,"16,776,716",39.4,"1,812,871,236",26.9,"832,891",1.6,"48,258,507",-8.3
…9월,"18,936,643",39.1,"2,044,846,104",26.9,"932,487",2.3,"54,086,183",-7.2
…10월,"21,238,720",37.2,"2,294,073,900",25.5,"1,009,150",1.9,"58,750,101",-6.5
…11월,"23,735,609",36.2,"2,561,871,298",24.8,"1,097,947",1.2,"64,318,191",-6.3
…12월,"26,282,559",35.9,"2,832,478,082",24.5,"1,187,028",0.7,"69,546,312",-6.6
2010년,"19,337,295",34.8,"2,274,601,058",26.0,"1,178,390",58.8,"74,422,464",58.3
…1월,"1,144,861",34.0,"136,030,610",23.8,"83,467",108.1,"5,209,835",123.1
…2월,"2,333,225",25.3,"276,816,545",15.2,"156,701",94.1,"10,163,646",110.6
…3월,"3,906,669",35.4,"464,180,014",23.8,"237,525",65.5,"15,581,609",83.3
…4월,"5,637,737",41.3,"665,917,239",29.2,"321,509",69.4,"21,225,868",79.9
…5월,"7,254,028",45.6,"858,079,691",33.4,"453,962",90.6,"29,458,938",92.4
…6월,"9,046,709",46.9,"1,073,062,210",35.2,"569,253",74.6,"37,056,730",76.2
…7월,"10,754,773",47.4,"1,277,417,166",35.9,"659,235",80.5,"43,075,117",82.4
…8월,"12,038,755",47.8,"1,428,347,449",35.9,"819,630",104.0,"52,618,181",102.5
…9월,"13,610,746",41.0,"1,611,606,183",30.2,"911,883",81.5,"58,268,322",84.3
…10월,"15,477,815",39.3,"1,828,232,500",29.2,"989,871",79.1,"62,863,096",78.4
…11월,"17,432,377",36.0,"2,053,533,190",26.8,"1,085,154",66.1,"68,668,474",66.2
…12월,"19,337,295",34.8,"2,274,601,058",26.0,"1,178,390",58.8,"74,422,464",58.3
2009년,"14,341,923",-14.6,"1,804,551,378",-13.5,"742,110",-12.0,"47,000,848",-5.7
…1월,"854,442",-42.3,"109,882,742",-39.7,"40,116",-38.3,"2,334,826",-36.0
…2월,"1,861,432",-29.7,"240,195,911",-25.5,"80,749",-37.5,"4,826,554",-34.6
…3월,"2,885,964",-30.5,"374,843,278",-26.0,"143,493",-39.9,"8,499,188",-35.6
…4월,"3,990,480",-30.6,"515,402,340",-26.3,"189,750",-40.2,"11,796,812",-32.5
…5월,"4,982,687",-31.4,"643,461,969",-27.1,"238,123",-41.5,"15,313,414",-31.9
…6월,"6,160,171",-30.3,"793,801,384",-26.3,"325,976",-32.7,"21,032,039",-22.0
…7월,"7,296,359",-26.9,"939,846,793",-23.0,"365,315",-34.9,"23,614,066",-25.4
…8월,"8,147,697",-26.7,"1,051,358,120",-22.6,"401,828",-36.8,"25,985,185",-27.1
…9월,"9,650,117",-20.9,"1,238,018,606",-17.3,"502,300",-30.2,"31,620,044",-22.8
…10월,"11,107,192",-19.4,"1,415,119,038",-16.7,"552,654",-27.5,"35,242,688",-20.3
…11월,"12,816,082",-17.2,"1,619,668,672",-15.5,"653,123",-18.6,"41,329,039",-12.0
…12월,"14,341,923",-14.6,"1,804,551,378",-13.5,"742,110",-12.0,"47,000,848",-5.7
2008년,"16,793,373",1.2,"2,085,254,014",0.1,"843,204",0.6,"49,837,954",3.1
…1월,"1,481,025",13.1,"182,284,250",11.4,"65,066",37.4,"3,648,954",37.5
…2월,"2,647,750",5.0,"322,230,956",1.5,"129,149",66.6,"7,377,006",57.6
…3월,"4,150,769",2.7,"506,436,328",-0.3,"238,800",75.0,"13,191,946",56.9
…4월,"5,748,905",5.0,"698,912,005",1.8,"317,262",57.1,"17,476,441",40.5
…5월,"7,262,568",5.6,"883,192,077",2.4,"407,007",54.3,"22,491,545",40.9
…6월,"8,833,185",6.8,"1,077,019,186",3.8,"484,296",42.2,"26,969,226",32.3
…7월,"9,986,878",5.1,"1,221,111,618",2.1,"561,074",35.3,"31,638,753",29.7
…8월,"11,114,664",4.0,"1,358,864,308",1.1,"635,663",28.1,"35,661,553",22.5
…9월,"12,206,161",3.1,"1,497,041,958",0.5,"719,350",28.0,"40,955,124",25.6
…10월,"13,787,357",2.7,"1,699,155,665",0.7,"761,799",19.3,"44,207,430",19.0
…11월,"15,479,687",2.3,"1,916,685,414",0.9,"801,903",7.9,"46,950,781",9.3
…12월,"16,793,373",1.2,"2,085,254,014",0.1,"843,204",0.6,"49,837,954",3.1
2007년,"16,595,026",14.3,"2,082,319,268",11.1,"838,220",32.2,"48,349,290",36.3
…1월,"1,309,986",11.0,"163,570,024",6.7,"47,356",66.4,"2,654,725",74.0
…2월,"2,522,820",12.2,"317,534,716",7.8,"77,530",12.9,"4,679,574",21.2
…3월,"4,043,262",13.7,"508,017,830",9.5,"136,463",8.3,"8,406,358",16.5
…4월,"5,475,042",15.4,"686,776,704",11.1,"201,962",15.6,"12,441,343",23.4
…5월,"6,876,506",14.8,"862,720,921",11.2,"263,731",14.4,"15,964,001",20.8
…6월,"8,269,067",13.6,"1,037,591,224",10.3,"340,530",15.9,"20,385,964",22.1
…7월,"9,504,463",19.0,"1,196,040,315",15.4,"414,707",24.1,"24,385,972",28.3
…8월,"10,682,614",20.3,"1,343,805,286",16.4,"496,288",26.0,"29,119,912",30.6
…9월,"11,838,200",15.1,"1,489,864,007",11.7,"561,992",22.1,"32,610,601",27.4
…10월,"13,429,955",17.4,"1,687,319,751",13.8,"638,620",27.6,"37,158,633",32.3
…11월,"15,134,165",16.3,"1,899,311,245",12.7,"743,486",30.7,"42,939,792",34.5
…12월,"16,595,026",14.3,"2,082,319,268",11.1,"838,220",32.2,"48,349,290",36.3
2006년,"14,520,894",7.1,"1,873,779,895",4.4,"634,180",10.9,"35,466,822",4.9
…1월,"1,179,768",-4.5,"153,238,003",-4.3,"28,458",0.1,"1,525,525",3.5
…2월,"2,248,528",2.6,"294,686,898",3.2,"68,677",28.5,"3,862,509",21.3
…3월,"3,556,519",4.9,"463,855,999",4.3,"126,037",31.9,"7,217,313",28.9
…4월,"4,745,797",2.8,"618,381,113",1.7,"174,750",27.3,"10,079,518",28.3
…5월,"5,988,152",5.5,"775,817,401",3.0,"230,604",29.7,"13,210,810",30.8
…6월,"7,276,343",6.6,"940,316,796",3.5,"293,877",34.5,"16,695,167",35.4
…7월,"7,990,249",0.1,"1,036,232,656",-2.5,"334,271",28.4,"18,999,779",28.8
…8월,"8,876,372",0.2,"1,154,079,900",-2.1,"393,922",28.2,"22,301,809",27.2
…9월,"10,282,280",5.9,"1,334,175,845",3.1,"460,352",27.5,"25,587,056",23.4
…10월,"11,439,030",4.6,"1,483,222,406",1.9,"500,609",25.0,"28,082,326",20.2
…11월,"13,016,366",6.2,"1,684,538,150",3.7,"568,772",24.2,"31,924,449",19.1
…12월,"14,520,894",7.1,"1,873,779,895",4.4,"634,180",10.9,"35,466,822",4.9
2005년,"13,557,971",8.2,"1,794,141,429",3.9,"571,919",41.1,"33,823,273",49.0
…1월,"1,234,885",79.6,"160,101,818",62.7,"28,423",34.4,"1,473,671",29.9
…2월,"2,191,215",36.7,"285,512,221",25.7,"53,440",33.7,"3,184,130",49.2
…3월,"3,391,376",29.3,"444,525,648",18.2,"95,588",30.5,"5,599,692",44.2
…4월,"4,617,281",27.4,"608,281,088",17.0,"137,276",32.7,"7,853,571",45.5
…5월,"5,675,696",25.9,"753,548,907",17.2,"177,841",32.0,"10,100,611",42.4
…6월,"6,826,762",23.9,"908,354,930",16.5,"218,522",24.7,"12,327,047",32.4
…7월,"7,978,954",23.6,"1,062,742,974",17.1,"260,312",24.7,"14,757,014",29.1
…8월,"8,856,027",19.5,"1,179,303,109",13.4,"307,323",25.8,"17,535,291",29.3
…9월,"9,705,696",14.1,"1,294,196,566",8.6,"361,151",31.7,"20,739,221",35.2
…10월,"10,938,790",12.1,"1,455,107,656",7.0,"400,560",31.8,"23,369,544",36.4
…11월,"12,252,910",10.8,"1,625,071,155",5.7,"457,984",31.6,"26,805,904",36.5
…12월,"13,557,971",8.2,"1,794,141,429",3.9,"571,919",41.1,"33,823,273",49.0
2004년,"12,531,899",25.5,"1,727,554,101",29.2,"405,446",12.4,"22,692,864",13.6
…1월,"687,634",-7.6,"98,393,798",3.5,"21,154",-24.9,"1,134,111",-27.4
…2월,"1,602,679",13.4,"227,072,453",25.9,"39,968",-16.9,"2,133,943",-23.8
…3월,"2,623,729",22.0,"376,163,117",37.0,"73,230",-9.1,"3,882,742",-16.3
…4월,"3,623,065",17.8,"520,001,588",32.5,"103,412",-10.7,"5,396,163",-19.0
…5월,"4,507,888",14.9,"643,207,243",27.5,"134,766",-8.8,"7,095,119",-16.8
…6월,"5,508,510",17.9,"779,982,829",28.6,"175,241",-1.4,"9,312,427",-7.9
…7월,"6,454,897",25.4,"907,270,386",34.8,"208,833",0.6,"11,430,817",-2.8
…8월,"7,407,816",27.5,"1,040,281,645",36.0,"244,202",5.1,"13,562,422",2.7
…9월,"8,502,770",27.4,"1,191,341,979",34.7,"274,207",2.6,"15,338,621",2.4
…10월,"9,756,205",25.0,"1,360,345,518",30.9,"303,845",3.6,"17,126,918",3.8
…11월,"11,058,239",25.1,"1,537,120,791",30.2,"347,948",7.7,"19,638,228",8.6
…12월,"12,531,899",25.5,"1,727,554,101",29.2,"405,446",12.4,"22,692,864",13.6
2003년,"9,988,413",24.4,"1,337,220,651",23.8,"360,590",23.4,"19,971,900",-4.6
2002년,"8,031,257",8.7,"1,079,974,998",5.4,"292,236",109.3,"20,933,612",83.0
…1월,"700,869",42.2,"94,743,399",37.9,"17,738",91.4,"1,331,238",88.9
…2월,"1,257,537",42.0,"171,559,630",36.9,"33,751",107.9,"2,546,369",100.9
…3월,"1,941,909",29.1,"264,197,661",25.0,"54,475",88.2,"4,126,587",85.2
…4월,"2,596,453",26.0,"353,274,210",22.7,"78,382",109.8,"6,019,922",106.6
…5월,"3,275,854",22.1,"445,233,742",18.9,"104,781",101.8,"8,049,661",98.1
…6월,"3,687,626",9.2,"501,895,815",6.9,"126,357",103.6,"9,580,981",94.8
…7월,"4,306,020",6.7,"582,845,462",4.0,"162,478",117.8,"11,927,414",99.4
…8월,"4,931,245",4.3,"667,779,288",1.8,"209,088",143.1,"15,039,169",114.3
…9월,"5,521,759",1.4,"746,129,576",-1.3,"227,236",120.2,"16,407,501",96.1
…10월,"6,356,620",3.4,"857,612,831",0.6,"243,365",115.8,"17,549,693",88.9
…11월,"7,180,163",4.1,"967,188,679",1.3,"265,967",112.1,"19,073,325",85.3
…12월,"8,031,257",8.7,"1,079,974,998",5.4,"292,236",109.3,"20,933,612",83.0
2001년,"7,389,207",3.3,"1,024,823,118",-3.0,"139,602",96.7,"11,436,655",112.0
…1월,"492,813",19.7,"68,722,021",10.1,"9,266",88.5,"704,829",117.4
…2월,"885,810",-5.4,"125,349,163",-12.4,"16,235",84.4,"1,267,250",111.4
…3월,"1,504,187",1.9,"211,441,162",-7.2,"28,945",103.8,"2,228,278",127.0
…4월,"2,060,075",8.1,"287,993,853",-2.5,"37,357",71.1,"2,913,494",90.5
…5월,"2,683,053",9.7,"374,473,222",-1.4,"51,919",93.1,"4,063,752",114.6
…6월,"3,376,191",16.4,"469,560,278",5.0,"62,054",95.4,"4,917,866",117.4
…7월,"4,037,376",14.4,"560,493,300",3.5,"74,597",88.9,"5,981,406",108.6
…8월,"4,729,671",14.3,"656,065,275",4.5,"86,013",88.1,"7,018,969",110.9
…9월,"5,446,556",11.6,"755,854,566",3.0,"103,176",92.5,"8,365,078",112.4
