K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271019  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…9월,"25,222,000",35.7,"38,134,982,583",4.9,"3,758,866",46.4,"7,343,438,692",17
…10월,"28,557,942",39.8,"42,678,375,290",7.2,"4,196,807",47.7,"8,111,620,807",16.7
…11월,"31,361,195",37.4,"46,937,062,795",6.8,"4,670,958",47.3,"8,956,114,500",16.1
…12월,"34,063,347",34.6,"51,613,493,189",6.9,"5,086,038",42.6,"9,758,118,012",13.5
2017년,"25,307,116",33.3,"48,290,351,626",7,"3,567,023",33.8,"8,598,494,501",-5.9
…1월,"1,926,030",79,"3,716,577,108",6.7,"305,773",61.5,"742,868,676",-8.5
…2월,"3,985,123",80.3,"7,597,627,576",9.2,"645,930",64.4,"1,576,678,684",-9.7
…3월,"6,102,006",72.6,"11,777,659,564",11.9,"944,587",46.3,"2,240,954,502",-21.6
…4월,"7,859,893",50.9,"15,125,619,725",2.1,"1,292,106",53.1,"3,136,908,158",-13
…5월,"9,878,635",45.8,"19,190,192,929",4.4,"1,614,110",52.8,"3,943,402,647",-8.2
…6월,"11,688,075",39.2,"22,915,367,484",5,"1,847,947",43.1,"4,504,382,504",-10.9
…7월,"13,689,541",32.4,"26,989,719,341",2.8,"2,032,886",29.6,"4,968,051,295",-16.8
…8월,"15,823,245",33,"31,205,983,318",4.6,"2,285,436",27.2,"5,589,392,018",-16.3
…9월,"18,586,250",36.4,"36,369,809,088",7.7,"2,567,648",27.1,"6,277,906,897",-14.9
…10월,"20,427,696",33.2,"39,818,111,164",6.4,"2,841,739",29.5,"6,951,643,411",-11.5
…11월,"22,817,902",33.4,"43,941,133,076",6.5,"3,170,994",29.3,"7,711,610,359",-10.3
…12월,"25,307,116",33.3,"48,290,351,626",7,"3,567,023",33.8,"8,598,494,501",-5.9
2016년,"18,980,527",-16.5,"45,120,623,113",0.7,"2,666,040",-20,"9,136,446,330",-0.1
